COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
الولايات المتحدة الأميركية,"قنصلية لبنان العامة في الولايات المتحدة الأميركية, لوس انجلس",Honorary Consulate of Lebanon in Seattle,"17617 NE 65th Street, Redmond, WA 98052",50,Honorary Consulate of Lebanon in Seattle
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",COLOSSEUM,"Masugnsvagen 28, 168 67 Bromma, Stockholm, Sweden",5,COLOSSEUM - غرفة رقم 2
الإتحاد السويسري,"سفارة لبنان لدى الإتحاد السويسري, برن",Ferme Sarasin,"Chemin Edouard-Sarasin 47, 1218 Le Grand-Saconnex",2,Ferme Sarasin - غرفة رقم 2
دولة الإمارات العربية المتحدة,"قنصلية لبنان العامة في دولة الإمارات العربية المتحدة, دبي",مركز انتخابي 1 - قنصلية لبنان العامة في دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,27,مركز انتخابي 1 - قنصلية لبنان العامة في دبي - غرفة رقم 12
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,8,السفارة اللبنانية في الكويت - غرفة رقم 8
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,51,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 16
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,16,السفارة اللبنانية في الرياض - غرفة رقم 16
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,7,المدرسة اللبنانية في قطر - غرفة رقم 7
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,4,المدرسة اللبنانية في قطر - غرفة رقم 4
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,29,القنصلية العامة في جدة - غرفة رقم 9
